Number of measurement points: 100
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.186987193534151	-0.00662497733719647
1	0.1	-0.188275495078415	-0.00662497733719647
2	0.2	-0.186987193534151	-0.00791327888146043
3	0.3	-0.186987193534151	-0.00662497733719647
4	0.4	-0.189563796622679	-0.00791327888146043
5	0.5	-0.186987193534151	-0.00662497733719647
6	0.6	-0.188275495078415	-0.00791327888146043
7	0.7	-0.186987193534151	-0.00662497733719647
8	0.8	-0.188275495078415	-0.00791327888146043
9	0.9	-0.188275495078415	-0.00662497733719647
10	1	-0.186987193534151	-0.00791327888146043
11	1.1	-0.188275495078415	-0.00662497733719647
12	1.2	-0.186987193534151	-0.00791327888146043
13	1.3	-0.188275495078415	-0.00791327888146043
14	1.4	-0.188275495078415	-0.00662497733719647
15	1.5	-0.188275495078415	-0.00662497733719647
16	1.6	-0.188275495078415	-0.00791327888146043
17	1.7	-0.186987193534151	-0.00791327888146043
18	1.8	-0.188275495078415	-0.00791327888146043
19	1.9	-0.186987193534151	-0.00791327888146043
20	2	-0.188275495078415	-0.00791327888146043
21	2.1	-0.188275495078415	-0.00791327888146043
22	2.2	-0.188275495078415	-0.00662497733719647
23	2.3	-0.189563796622679	-0.00791327888146043
24	2.4	-0.186987193534151	-0.00791327888146043
25	2.5	-0.186987193534151	-0.00662497733719647
26	2.6	-0.188275495078415	-0.00662497733719647
27	2.7	-0.186987193534151	-0.00662497733719647
28	2.8	-0.188275495078415	-0.00662497733719647
29	2.9	-0.185698891989887	-0.00662497733719647
30	3	-0.188275495078415	-0.00791327888146043
31	3.1	-0.188275495078415	-0.00791327888146043
32	3.2	-0.188275495078415	-0.00791327888146043
33	3.3	-0.189563796622679	-0.00662497733719647
34	3.4	-0.188275495078415	-0.00791327888146043
35	3.5	-0.189563796622679	-0.00791327888146043
36	3.6	-0.189563796622679	-0.00791327888146043
37	3.7	-0.189563796622679	-0.00791327888146043
38	3.8	-0.190852098166943	-0.00662497733719647
39	3.9	-0.190852098166943	-0.00791327888146043
40	4	-0.190852098166943	-0.00791327888146043
41	4.1	-0.189563796622679	-0.00662497733719647
42	4.2	-0.190852098166943	-0.00662497733719647
43	4.3	-0.188275495078415	-0.00662497733719647
44	4.4	-0.192140399711207	-0.00791327888146043
45	4.5	-0.190852098166943	-0.00662497733719647
46	4.6	-0.190852098166943	-0.00662497733719647
47	4.7	-0.190852098166943	-0.00662497733719647
48	4.8	-0.189563796622679	-0.00662497733719647
49	4.9	-0.192140399711207	-0.00662497733719647
50	5	-0.190852098166943	-0.00662497733719647
51	5.1	-0.192140399711207	-0.00662497733719647
52	5.2	-0.190852098166943	-0.00791327888146043
53	5.3	-0.192140399711207	-0.00662497733719647
54	5.4	-0.192140399711207	-0.00662497733719647
55	5.5	-0.193428701255471	-0.00662497733719647
56	5.6	-0.190852098166943	-0.00662497733719647
57	5.7	-0.193428701255471	-0.00662497733719647
58	5.8	-0.192140399711207	-0.00662497733719647
59	5.9	-0.193428701255471	-0.00662497733719647
60	6	-0.193428701255471	-0.00662497733719647
61	6.1	-0.193428701255471	-0.00662497733719647
62	6.2	-0.193428701255471	-0.00662497733719647
63	6.3	-0.192140399711207	-0.00662497733719647
64	6.4	-0.194717002799734	-0.00662497733719647
65	6.5	-0.193428701255471	-0.00662497733719647
66	6.6	-0.194717002799734	-0.00662497733719647
67	6.7	-0.193428701255471	-0.00662497733719647
68	6.8	-0.193428701255471	-0.00662497733719647
69	6.9	-0.193428701255471	-0.00662497733719647
70	7	-0.194717002799734	-0.00662497733719647
71	7.1	-0.193428701255471	-0.00662497733719647
72	7.2	-0.194717002799734	-0.00662497733719647
73	7.3	-0.193428701255471	-0.00662497733719647
74	7.4	-0.194717002799734	-0.00791327888146043
75	7.5	-0.194717002799734	-0.00662497733719647
76	7.6	-0.194717002799734	-0.00662497733719647
77	7.7	-0.193428701255471	-0.00662497733719647
78	7.8	-0.194717002799734	-0.00662497733719647
79	7.9	-0.196005304343998	-0.00791327888146043
80	8	-0.194717002799734	-0.00662497733719647
81	8.1	-0.194717002799734	-0.00791327888146043
82	8.2	-0.194717002799734	-0.00791327888146043
83	8.3	-0.194717002799734	-0.00662497733719647
84	8.4	-0.194717002799734	-0.00791327888146043
85	8.5	-0.194717002799734	-0.00662497733719647
86	8.6	-0.193428701255471	-0.00791327888146043
87	8.7	-0.193428701255471	-0.00662497733719647
88	8.8	-0.193428701255471	-0.00662497733719647
89	8.9	-0.193428701255471	-0.00662497733719647
90	9	-0.193428701255471	-0.00662497733719647
91	9.1	-0.194717002799734	-0.00662497733719647
92	9.2	-0.193428701255471	-0.00662497733719647
93	9.3	-0.193428701255471	-0.00662497733719647
94	9.4	-0.194717002799734	-0.00662497733719647
95	9.5	-0.193428701255471	-0.00662497733719647
96	9.6	-0.194717002799734	-0.00791327888146043
97	9.7	-0.193428701255471	-0.00662497733719647
98	9.8	-0.193428701255471	-0.00791327888146043
99	9.9	-0.192140399711207	-0.00662497733719647
