Number of measurement points: 684
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.89941794751212	-0.545135022839531
1	0.1	-0.89941794751212	-0.542558419751003
2	0.2	-0.901994550600648	-0.537405213573948
3	0.3	-0.89941794751212	-0.529675404308364
4	0.4	-0.900706249056384	-0.424034677678719
5	0.5	-0.901994550600648	-0.418881471501663
6	0.6	-0.89941794751212	-0.435629391577095
7	0.7	-0.900706249056384	-0.421458074590191
8	0.8	-0.89941794751212	-0.399556948337704
9	0.9	-0.89941794751212	-0.387962234439328
10	1	-0.89941794751212	-0.373790917452425
11	1.1	-0.894264741335064	-0.33643017266877
12	1.2	-0.887823233613744	-0.291339618619531
13	1.3	-0.887823233613744	-0.262996984645724
14	1.4	-0.882670027436689	-0.226924541406333
15	1.5	-0.878805122803897	-0.192140399711207
16	1.6	-0.874940218171105	-0.205023415153846
17	1.7	-0.869787011994049	-0.216618129052222
18	1.8	-0.867210408905521	-0.223059636773542
19	1.9	-0.860768901184201	-0.237230953760445
20	2	-0.856903996551409	-0.256555476924405
21	2.1	-0.853039091918617	-0.282321507809684
22	2.2	-0.849174187285826	-0.310664141783491
23	2.3	-0.845309282653034	-0.350601489655674
24	2.4	-0.838867774931714	-0.409863360691816
25	2.5	-0.835002870298922	-0.45366561319679
26	2.6	-0.83113796566613	-0.476855040993541
27	2.7	-0.825984759489074	-0.479431644082069
28	2.8	-0.823408156400546	-0.46654862863943
29	2.9	-0.818254950223491	-0.456242216285318
30	3	-0.814390045590699	-0.44722410547547
31	3.1	-0.810525140957907	-0.452377311652526
32	3.2	-0.804083633236587	-0.456242216285318
33	3.3	-0.801507030148059	-0.45366561319679
34	3.4	-0.795065522426739	-0.443359200842679
35	3.5	-0.792488919338211	-0.439494296209887
36	3.6	-0.786047411616892	-0.436917693121359
37	3.7	-0.783470808528364	-0.444647502386943
38	3.8	-0.777029300807044	-0.443359200842679
39	3.9	-0.774452697718516	-0.435629391577095
40	4	-0.770587793085724	-0.420169773045927
41	4.1	-0.766722888452932	-0.429187883855775
42	4.2	-0.764146285364404	-0.433052788488567
43	4.3	-0.757704777643085	-0.426611280767247
44	4.4	-0.755128174554557	-0.412439963780344
45	4.5	-0.748686666833237	-0.403421852970496
46	4.6	-0.744821762200445	-0.421458074590191
47	4.7	-0.740956857567653	-0.426611280767247
48	4.8	-0.735803651390597	-0.416304868413135
49	4.9	-0.730650445213541	-0.405998456059024
50	5	-0.728073842125013	-0.399556948337704
51	5.1	-0.722920635947958	-0.399556948337704
52	5.2	-0.717767429770902	-0.394403742160648
53	5.3	-0.71390252513811	-0.384097329806536
54	5.4	-0.710037620505318	-0.369926012819633
55	5.5	-0.703596112783998	-0.358331298921257
56	5.6	-0.70101950969547	-0.34931318811141
57	5.7	-0.697154605062678	-0.32998866494745
58	5.8	-0.689424795797095	-0.299069427885115
59	5.9	-0.685559891164303	-0.269438492367044
60	6	-0.680406684987247	-0.241095858393237
61	6.1	-0.679118383442983	-0.205023415153846
62	6.2	-0.673965177265927	-0.168950971914455
63	6.3	-0.668811971088871	-0.165086067281663
64	6.4	-0.664947066456079	-0.166374368825927
65	6.5	-0.659793860279024	-0.167662670370191
66	6.6	-0.655928955646232	-0.190852098166943
67	6.7	-0.650775749469176	-0.207600018242374
68	6.8	-0.64562254329212	-0.226924541406333
69	6.9	-0.640469337115064	-0.246249064570293
70	7	-0.636604432482272	-0.2745916985441
71	7.1	-0.631451226305217	-0.324835458770394
72	7.2	-0.627586321672425	-0.375079218996689
73	7.3	-0.622433115495369	-0.386673932895064
74	7.4	-0.618568210862577	-0.372502615908161
75	7.5	-0.612126703141257	-0.368637711275369
76	7.6	-0.610838401596993	-0.394403742160648
77	7.7	-0.605685195419937	-0.394403742160648
78	7.8	-0.599243687698618	-0.371214314363897
79	7.9	-0.595378783065826	-0.344159981934354
80	8	-0.591513878433034	-0.34287168039009
81	8.1	-0.587648973800242	-0.371214314363897
82	8.2	-0.582495767623186	-0.387962234439328
83	8.3	-0.57734256144613	-0.382809028262272
84	8.4	-0.573477656813338	-0.363484505098313
85	8.5	-0.568324450636283	-0.354466394288465
86	8.6	-0.565747847547755	-0.371214314363897
87	8.7	-0.560594641370699	-0.369926012819633
88	8.8	-0.552864832105115	-0.34931318811141
89	8.9	-0.551576530560851	-0.32354715722613
90	9	-0.545135022839531	-0.335141871124506
91	9.1	-0.541270118206739	-0.346736585022882
92	9.2	-0.53482861048542	-0.345448283478618
93	9.3	-0.530963705852628	-0.339006775757298
94	9.4	-0.525810499675572	-0.327412061858922
95	9.5	-0.52194559504278	-0.341583378845826
96	9.6	-0.516792388865724	-0.344159981934354
97	9.7	-0.511639182688668	-0.346736585022882
98	9.8	-0.506485976511613	-0.348024886567146
99	9.9	-0.502621071878821	-0.363484505098313
100	10	-0.498756167246029	-0.384097329806536
101	10.1	-0.494891262613237	-0.381520726718009
102	10.2	-0.489738056436181	-0.360907902009785
103	10.3	-0.484584850259125	-0.346736585022882
104	10.4	-0.480719945626333	-0.34931318811141
105	10.5	-0.476855040993541	-0.335141871124506
106	10.6	-0.471701834816486	-0.314529046416283
107	10.7	-0.465260327095166	-0.290051317075267
108	10.8	-0.46010712091811	-0.26170868310146
109	10.9	-0.456242216285318	-0.220483033685014
110	11	-0.451089010108262	-0.197293605888262
111	11.1	-0.445935803931206	-0.203735113609582
112	11.2	-0.442070899298415	-0.205023415153846
113	11.3	-0.436917693121359	-0.210176621330902
114	11.4	-0.434341090032831	-0.229501144494861
115	11.5	-0.426611280767247	-0.238519255304709
116	11.6	-0.422746376134455	-0.257843778468668
117	11.7	-0.417593169957399	-0.2745916985441
118	11.8	-0.412439963780344	-0.313240744872019
119	11.9	-0.407286757603288	-0.357042997376993
120	12	-0.402133551426232	-0.399556948337704
121	12.1	-0.39826864679344	-0.402133551426232
122	12.2	-0.394403742160648	-0.399556948337704
123	12.3	-0.387962234439328	-0.405998456059024
124	12.4	-0.384097329806536	-0.422746376134455
125	12.5	-0.380232425173745	-0.435629391577095
126	12.6	-0.376367520540953	-0.420169773045927
127	12.7	-0.372502615908161	-0.421458074590191
128	12.8	-0.364772806642577	-0.415016566868871
129	12.9	-0.362196203554049	-0.424034677678719
130	13	-0.357042997376993	-0.445935803931206
131	13.1	-0.355754695832729	-0.440782597754151
132	13.2	-0.34931318811141	-0.440782597754151
133	13.3	-0.346736585022882	-0.426611280767247
134	13.4	-0.341583378845826	-0.434341090032831
135	13.5	-0.339006775757298	-0.436917693121359
136	13.6	-0.333853569580242	-0.415016566868871
137	13.7	-0.32998866494745	-0.371214314363897
138	13.8	-0.326123760314658	-0.386673932895064
139	13.9	-0.324835458770394	-0.373790917452425
140	14	-0.322258855681866	-0.371214314363897
141	14.1	-0.318393951049075	-0.359619600465521
142	14.2	-0.318393951049075	-0.364772806642577
143	14.3	-0.311952443327755	-0.353178092744201
144	14.4	-0.308087538694963	-0.33643017266877
145	14.5	-0.305510935606435	-0.341583378845826
146	14.6	-0.297781126340851	-0.360907902009785
147	14.7	-0.293916221708059	-0.371214314363897
148	14.8	-0.291339618619531	-0.34931318811141
149	14.9	-0.28747471398674	-0.363484505098313
150	15	-0.282321507809684	-0.373790917452425
151	15.1	-0.28103320626542	-0.363484505098313
152	15.2	-0.278456603176892	-0.348024886567146
153	15.3	-0.275880000088364	-0.327412061858922
154	15.4	-0.272015095455572	-0.324835458770394
155	15.5	-0.270726793911308	-0.318393951049075
156	15.6	-0.265573587734252	-0.28747471398674
157	15.7	-0.262996984645724	-0.26815019082278
158	15.8	-0.260420381557196	-0.283609809353948
159	15.9	-0.259132080012932	-0.300357729429379
160	16	-0.255267175380141	-0.317105649504811
161	16.1	-0.253978873835877	-0.328700363403186
162	16.2	-0.253978873835877	-0.345448283478618
163	16.3	-0.253978873835877	-0.371214314363897
164	16.4	-0.252690572291613	-0.415016566868871
165	16.5	-0.248825667658821	-0.451089010108262
166	16.6	-0.246249064570293	-0.506485976511613
167	16.7	-0.243672461481765	-0.565747847547755
168	16.8	-0.242384159937501	-0.578630862990394
169	16.9	-0.242384159937501	-0.581207466078922
170	17	-0.241095858393237	-0.587648973800242
171	17.1	-0.239807556848973	-0.587648973800242
172	17.2	-0.235942652216181	-0.591513878433034
173	17.3	-0.233366049127653	-0.615991607774049
174	17.4	-0.229501144494861	-0.610838401596993
175	17.5	-0.228212842950597	-0.617279909318313
176	17.6	-0.226924541406333	-0.59666708461009
177	17.7	-0.226924541406333	-0.597955386154354
178	17.8	-0.228212842950597	-0.586360672255978
179	17.9	-0.225636239862069	-0.586360672255978
180	18	-0.229501144494861	-0.585072370711714
181	18.1	-0.229501144494861	-0.588937275344506
182	18.2	-0.226924541406333	-0.581207466078922
183	18.3	-0.228212842950597	-0.573477656813338
184	18.4	-0.224347938317806	-0.563171244459227
185	18.5	-0.221771335229278	-0.548999927472323
186	18.6	-0.216618129052222	-0.527098801219836
187	18.7	-0.214041525963694	-0.523233896587044
188	18.8	-0.210176621330902	-0.510350881144404
189	18.9	-0.207600018242374	-0.483296548714861
190	19	-0.203735113609582	-0.471701834816486
191	19.1	-0.202446812065318	-0.46010712091811
192	19.2	-0.197293605888262	-0.463972025550902
193	19.3	-0.194717002799734	-0.471701834816486
194	19.4	-0.190852098166943	-0.46654862863943
195	19.5	-0.188275495078415	-0.452377311652526
196	19.6	-0.184410590445623	-0.445935803931206
197	19.7	-0.180545685812831	-0.442070899298415
198	19.8	-0.179257384268567	-0.443359200842679
199	19.9	-0.175392479635775	-0.454953914741054
200	20	-0.171527575002983	-0.456242216285318
201	20.1	-0.168950971914455	-0.449800708563998
202	20.2	-0.165086067281663	-0.435629391577095
203	20.3	-0.161221162648872	-0.422746376134455
204	20.4	-0.15735625801608	-0.417593169957399
205	20.5	-0.154779654927552	-0.463972025550902
206	20.6	-0.152203051839024	-0.493602961068973
207	20.7	-0.149626448750496	-0.516792388865724
