Number of measurement points: 531
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	1.14511660323478	-1.05659073591232
1	0.1	1.14382830169052	-1.0359779112041
2	0.2	1.14511660323478	-1.03468960965984
3	0.3	1.14382830169052	-1.02051829267293
4	0.4	1.14511660323478	-1.01278848340735
5	0.5	1.14382830169052	-1.00763527723029
6	0.6	1.14511660323478	-0.990887357154861
7	0.7	1.14382830169052	-0.965121326269582
8	0.8	1.14511660323478	-0.932913787662983
9	0.9	1.14125169860199	-0.882670027436689
10	1	1.14382830169052	-0.809236839413643
11	1.1	1.14254000014625	-0.690713097341359
12	1.2	1.14511660323478	-0.5283871027641
13	1.3	1.14125169860199	-0.465260327095166
14	1.4	1.14382830169052	-0.476855040993541
15	1.5	1.14382830169052	-0.488449754891917
16	1.6	1.14254000014625	-0.510350881144404
17	1.7	1.14254000014625	-0.532252007396892
18	1.8	1.14254000014625	-0.568324450636283
19	1.9	1.14254000014625	-0.615991607774049
20	2	1.14125169860199	-0.698442906606942
21	2.1	1.14125169860199	-0.815678347134963
22	2.2	1.14125169860199	-0.950950009282678
23	2.3	1.13609849242494	-1.01150018186308
24	2.4	1.13223358779214	-1.07205035444349
25	2.5	1.12708038161509	-1.11327600385994
26	2.6	1.1232154769823	-1.10941109922715
27	2.7	1.11806227080524	-1.05787903745659
28	2.8	1.11548566771671	-0.950950009282678
29	2.9	1.10904415999539	-1.07591525907628
30	3	1.10389095381834	-1.13904203474522
31	3.1	1.09873774764128	-1.07978016370907
32	3.2	1.08971963683143	-1.00248207105324
33	3.3	1.08843133528717	-1.04241941892542
34	3.4	1.08070152602158	-1.17511447798461
35	3.5	1.07426001830027	-1.16609636717476
36	3.6	1.07168341521174	-1.05272583127953
37	3.7	1.06395360594615	-1.04370772046968
38	3.8	1.0588003997691	-1.17124957335182
39	3.9	1.05107059050351	-1.17769108107314
40	4	1.04591738432646	-1.05530243436806
41	4.1	1.0407641781494	-0.96769792935811
42	4.2	1.03303436888382	-1.09910468687303
43	4.3	1.03174606733955	-1.18155598570593
44	4.4	1.02401625807397	-1.14290693937801
45	4.5	1.02272795652971	-1.01150018186308
46	4.6	1.01499814726412	-0.999905467964709
47	4.7	1.01113324263133	-1.12744732084684
48	4.8	1.00469173491001	-1.22020503203385
49	4.9	1.00082683027722	-1.17511447798461
50	5	0.9943853225559	-1.06045564054511
51	5.1	0.990520417923108	-1.03211300657131
52	5.2	0.985367211746052	-1.08106846525334
53	5.3	0.982790608657524	-1.1467718440108
54	5.4	0.984078910201788	-1.21891673048958
55	5.5	0.98150230711326	-1.18026768416166
56	5.6	0.978925704024732	-1.12744732084684
57	5.7	0.978925704024732	-1.050149228191
58	5.8	0.978925704024732	-0.920030772220343
59	5.9	0.978925704024732	-0.725497239036486
60	6	0.977637402480468	-0.600531989242882
61	6.1	0.972484196303412	-0.619856512406841
62	6.2	0.967330990126356	-0.641757638659328
63	6.3	0.964754387037829	-0.641757638659328
64	6.4	0.962177783949301	-0.675253478810191
65	6.5	0.957024577772245	-0.744821762200445
66	6.6	0.954447974683717	-0.809236839413643
67	6.7	0.950583070050925	-0.903282852144912
68	6.8	0.946718165418133	-1.03726621274836
69	6.9	0.942853260785341	-1.15707825636491
70	7	0.938988356152549	-1.37995442352258
71	7.1	0.936411753064021	-1.48044194397517
72	7.2	0.931258546886966	-1.50105476868339
73	7.3	0.928681943798438	-1.49976646713912
74	7.4	0.922240436077118	-1.48430684860796
75	7.5	0.91966383298859	-1.31940425094217
76	7.6	0.915798928355798	-1.42375667602755
77	7.7	0.911934023723006	-1.52037929184735
78	7.8	0.90678081754595	-1.5293974026572
79	7.9	0.902915912913159	-1.51393778412603
80	8	0.897762706736103	-1.39670234359801
81	8.1	0.895186103647575	-1.39026083587669
82	8.2	0.888744595926255	-1.51780268875882
83	8.3	0.886167992837727	-1.52810910111293
84	8.4	0.881014786660671	-1.51651438721456
85	8.5	0.878438183572143	-1.40185554977506
86	8.6	0.871996675850824	-1.37222461425699
87	8.7	0.868131771218032	-1.49332495941781
88	8.8	0.861690263496712	-1.52037929184735
89	8.9	0.859113660408184	-1.51264948258176
90	9	0.853960454231128	-1.42762158066034
91	9.1	0.848807248054072	-1.36964801116847
92	9.2	0.84494234342128	-1.48173024551943
93	9.3	0.838500835699961	-1.50491967331618
94	9.4	0.837212534155697	-1.49976646713912
95	9.5	0.829482724890113	-1.41216196212918
96	9.6	0.826906121801585	-1.31811594939791
97	9.7	0.820464614080265	-1.46369402389973
98	9.8	0.816599709447473	-1.48559515015222
99	9.9	0.80886990018189	-1.44565780228004
100	10	0.806293297093362	-1.26271898299456
101	10.1	0.797275186283514	-1.31296274322085
102	10.2	0.793410281650722	-1.39927894668654
103	10.3	0.78954537701793	-1.34517028182745
104	10.4	0.781815567752346	-1.23437634902075
105	10.5	0.779238964663818	-1.07591525907628
106	10.6	0.774085758486763	-0.89941794751212
107	10.7	0.768932552309707	-0.71390252513811
108	10.8	0.766355949221179	-0.72678554058075
109	10.9	0.761202743044123	-0.738380254479125
110	11	0.756049536867067	-0.717767429770902
111	11.1	0.750896330690011	-0.743533460656181
112	11.2	0.748319727601483	-0.825984759489074
113	11.3	0.743166521424428	-0.895553042879328
114	11.4	0.739301616791636	-0.970274532446638
115	11.5	0.732860109070316	-1.04241941892542
116	11.6	0.728995204437524	-1.29750312468968
117	11.7	0.725130299804732	-1.5899475752376
118	11.8	0.72126539517194	-1.6401913354639
119	11.9	0.717400490539148	-1.60927209840156
120	12	0.712247284362093	-1.50620797486044
121	12.1	0.709670681273565	-1.48430684860796
122	12.2	0.704517475096509	-1.59252417832613
123	12.3	0.699364268919453	-1.60927209840156
124	12.4	0.698075967375189	-1.60283059068024
125	12.5	0.692922761198133	-1.54099211655557
126	12.6	0.689057856565341	-1.44050459610298
127	12.7	0.683904650388286	-1.57706455979496
