Number of measurement points: 521
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-1.10168128996156	-0.256555476924405
1	0.1	-1.09910468687303	-0.255267175380141
2	0.2	-1.1003929884173	-0.256555476924405
3	0.3	-1.10168128996156	-0.255267175380141
4	0.4	-1.1003929884173	-0.242384159937501
5	0.5	-1.10168128996156	-0.20631171669811
6	0.6	-1.1003929884173	-0.188275495078415
7	0.7	-1.10168128996156	-0.188275495078415
8	0.8	-1.1003929884173	-0.193428701255471
9	0.9	-1.10168128996156	-0.197293605888262
10	1	-1.1003929884173	-0.197293605888262
11	1.1	-1.10425789305009	-0.193428701255471
12	1.2	-1.10683449613862	-0.175392479635775
13	1.3	-1.11327600385994	-0.152203051839024
14	1.4	-1.11842921003699	-0.127725322498009
15	1.5	-1.12487071775831	-0.100670990068465
16	1.6	-1.13131222547963	-0.101959291612729
17	1.7	-1.13646543165669	-0.100670990068465
18	1.8	-1.14161863783374	-0.105824196245521
19	1.9	-1.1467718440108	-0.116130608599633
20	2	-1.15321335173212	-0.118707211688161
21	2.1	-1.15836655790918	-0.123860417865217
22	2.2	-1.15965485945344	-0.134166830219328
23	2.3	-1.1609431609977	-0.147049845661968
24	2.4	-1.15707825636491	-0.175392479635775
25	2.5	-1.15321335173212	-0.214041525963694
26	2.6	-1.14419524092227	-0.216618129052222
27	2.7	-1.13904203474522	-0.223059636773542
28	2.8	-1.13131222547963	-0.232077747583389
29	2.9	-1.12487071775831	-0.230789446039125
30	3	-1.11971751158126	-0.225636239862069
31	3.1	-1.11198770231567	-0.226924541406333
32	3.2	-1.10554619459435	-0.228212842950597
33	3.3	-1.1003929884173	-0.224347938317806
34	3.4	-1.09395148069598	-0.220483033685014
35	3.5	-1.08750997297466	-0.226924541406333
36	3.6	-1.07978016370907	-0.226924541406333
37	3.7	-1.07591525907628	-0.224347938317806
38	3.8	-1.0681854498107	-0.221771335229278
39	3.9	-1.06432054517791	-0.223059636773542
40	4	-1.05787903745659	-0.217906430596486
41	4.1	-1.05272583127953	-0.214041525963694
42	4.2	-1.04370772046968	-0.210176621330902
43	4.3	-1.03984281583689	-0.217906430596486
44	4.4	-1.03340130811557	-0.226924541406333
45	4.5	-1.02824810193852	-0.224347938317806
46	4.6	-1.02051829267293	-0.221771335229278
47	4.7	-1.01407678495161	-0.220483033685014
48	4.8	-1.00763527723029	-0.223059636773542
49	4.9	-1.0037703725975	-0.224347938317806
50	5	-0.994752261787653	-0.220483033685014
51	5.1	-0.990887357154861	-0.224347938317806
52	5.2	-0.981869246345013	-0.21919473214075
53	5.3	-0.979292643256485	-0.207600018242374
54	5.4	-0.968986230902374	-0.207600018242374
55	5.5	-0.965121326269582	-0.202446812065318
56	5.6	-0.959968120092526	-0.196005304343998
57	5.7	-0.952238310826942	-0.185698891989887
58	5.8	-0.947085104649886	-0.179257384268567
59	5.9	-0.939355295384303	-0.166374368825927
60	6	-0.935490390751511	-0.141896639484912
61	6.1	-0.926472279941663	-0.112265703966841
62	6.2	-0.921319073764607	-0.0787698638159782
63	6.3	-0.914877566043288	-0.0800581653602421
64	6.4	-0.909724359866232	-0.0813464669045061
65	6.5	-0.904571153689176	-0.083923069993034
66	6.6	-0.896841344423592	-0.0916528792586178
67	6.7	-0.891688138246536	-0.0942294823471457
68	6.8	-0.88653493206948	-0.0968060854356736
69	6.9	-0.878805122803897	-0.104535894701257
70	7	-0.873651916626841	-0.119995513232425
71	7.1	-0.865922107361257	-0.147049845661968
72	7.2	-0.860768901184201	-0.175392479635775
73	7.3	-0.853039091918617	-0.184410590445623
74	7.4	-0.846597584197298	-0.181833987357095
75	7.5	-0.841444378020242	-0.176680781180039
76	7.6	-0.835002870298922	-0.168950971914455
77	7.7	-0.829849664121866	-0.171527575002983
78	7.8	-0.823408156400546	-0.171527575002983
79	7.9	-0.818254950223491	-0.166374368825927
80	8	-0.810525140957907	-0.165086067281663
81	8.1	-0.805371934780851	-0.163797765737399
82	8.2	-0.800218728603795	-0.165086067281663
83	8.3	-0.793777220882475	-0.158644559560344
84	8.4	-0.789912316249683	-0.158644559560344
85	8.5	-0.7821825069841	-0.159932861104608
86	8.6	-0.77574099926278	-0.162509464193135
87	8.7	-0.770587793085724	-0.161221162648872
88	8.8	-0.761569682275876	-0.168950971914455
89	8.9	-0.758993079187348	-0.168950971914455
90	9	-0.752551571466029	-0.166374368825927
91	9.1	-0.744821762200445	-0.159932861104608
92	9.2	-0.738380254479125	-0.161221162648872
93	9.3	-0.731938746757805	-0.158644559560344
94	9.4	-0.72678554058075	-0.152203051839024
95	9.5	-0.717767429770902	-0.153491353383288
96	9.6	-0.71390252513811	-0.153491353383288
97	9.7	-0.706172715872526	-0.152203051839024
98	9.8	-0.702307811239734	-0.148338147206232
99	9.9	-0.693289700429887	-0.148338147206232
100	10	-0.689424795797095	-0.149626448750496
101	10.1	-0.680406684987247	-0.148338147206232
102	10.2	-0.676541780354455	-0.148338147206232
103	10.3	-0.668811971088871	-0.15091475029476
104	10.4	-0.664947066456079	-0.152203051839024
105	10.5	-0.657217257190496	-0.15091475029476
106	10.6	-0.650775749469176	-0.149626448750496
107	10.7	-0.644334241747856	-0.143184941029176
108	10.8	-0.640469337115064	-0.122572116320953
109	10.9	-0.632739527849481	-0.0942294823471457
110	11	-0.627586321672425	-0.085211371537298
111	11.1	-0.621144813951105	-0.0877879746258259
112	11.2	-0.614703306229785	-0.0877879746258259
113	11.3	-0.608261798508465	-0.085211371537298
114	11.4	-0.603108592331409	-0.0864996730815619
115	11.5	-0.59666708461009	-0.0942294823471457
116	11.6	-0.588937275344506	-0.0968060854356736
117	11.7	-0.585072370711714	-0.107112497789785
