Number of measurement points: 816
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-1.02567149884999	-0.244960763026029
1	0.1	-1.02438319730572	-0.241095858393237
2	0.2	-1.02309489576146	-0.241095858393237
3	0.3	-1.02567149884999	-0.242384159937501
4	0.4	-1.02438319730572	-0.242384159937501
5	0.5	-1.02567149884999	-0.241095858393237
6	0.6	-1.02309489576146	-0.239807556848973
7	0.7	-1.02438319730572	-0.238519255304709
8	0.8	-1.0218065942172	-0.238519255304709
9	0.9	-1.02438319730572	-0.237230953760445
10	1	-1.02309489576146	-0.235942652216181
11	1.1	-1.02438319730572	-0.237230953760445
12	1.2	-1.02438319730572	-0.235942652216181
13	1.3	-1.02567149884999	-0.235942652216181
14	1.4	-1.02309489576146	-0.230789446039125
15	1.5	-1.02438319730572	-0.235942652216181
16	1.6	-1.02309489576146	-0.233366049127653
17	1.7	-1.02309489576146	-0.230789446039125
18	1.8	-1.02567149884999	-0.226924541406333
19	1.9	-1.02438319730572	-0.220483033685014
20	2	-1.02567149884999	-0.210176621330902
21	2.1	-1.02567149884999	-0.189563796622679
22	2.2	-1.02567149884999	-0.154779654927552
23	2.3	-1.02567149884999	-0.135455131763592
24	2.4	-1.02567149884999	-0.13803173485212
25	2.5	-1.02567149884999	-0.140608337940648
26	2.6	-1.02695980039425	-0.143184941029176
27	2.7	-1.02567149884999	-0.14447324257344
28	2.8	-1.02567149884999	-0.148338147206232
29	2.9	-1.02567149884999	-0.153491353383288
30	3	-1.02567149884999	-0.162509464193135
31	3.1	-1.02438319730572	-0.183122288901359
32	3.2	-1.02438319730572	-0.223059636773542
33	3.3	-1.02309489576146	-0.251402270747349
34	3.4	-1.02695980039425	-0.250113969203085
35	3.5	-1.02438319730572	-0.247537366114557
36	3.6	-1.02438319730572	-0.251402270747349
37	3.7	-1.02438319730572	-0.248825667658821
38	3.8	-1.02309489576146	-0.247537366114557
39	3.9	-1.02567149884999	-0.247537366114557
40	4	-1.02309489576146	-0.242384159937501
41	4.1	-1.02438319730572	-0.235942652216181
42	4.2	-1.02438319730572	-0.237230953760445
43	4.3	-1.02567149884999	-0.230789446039125
44	4.4	-1.02438319730572	-0.224347938317806
45	4.5	-1.02567149884999	-0.221771335229278
46	4.6	-1.02438319730572	-0.224347938317806
47	4.7	-1.02567149884999	-0.228212842950597
48	4.8	-1.02438319730572	-0.234654350671917
49	4.9	-1.02309489576146	-0.233366049127653
50	5	-1.02051829267293	-0.233366049127653
51	5.1	-1.01665338804014	-0.228212842950597
52	5.2	-1.01407678495161	-0.225636239862069
53	5.3	-1.01021188031882	-0.226924541406333
54	5.4	-1.00763527723029	-0.235942652216181
55	5.5	-1.00634697568603	-0.233366049127653
56	5.6	-1.00119376950897	-0.230789446039125
57	5.7	-0.998617166420445	-0.225636239862069
58	5.8	-0.994752261787653	-0.221771335229278
59	5.9	-0.992175658699125	-0.220483033685014
60	6	-0.985734150977805	-0.225636239862069
61	6.1	-0.983157547889277	-0.225636239862069
62	6.2	-0.980580944800749	-0.224347938317806
63	6.3	-0.975427738623694	-0.220483033685014
64	6.4	-0.972851135535166	-0.216618129052222
65	6.5	-0.96769792935811	-0.214041525963694
66	6.6	-0.966409627813846	-0.21275322441943
67	6.7	-0.96125642163679	-0.207600018242374
68	6.8	-0.959968120092526	-0.196005304343998
69	6.9	-0.956103215459734	-0.165086067281663
70	7	-0.950950009282678	-0.140608337940648
71	7.1	-0.949661707738414	-0.143184941029176
72	7.2	-0.945796803105623	-0.147049845661968
73	7.3	-0.941931898472831	-0.15091475029476
74	7.4	-0.939355295384303	-0.154779654927552
75	7.5	-0.935490390751511	-0.158644559560344
76	7.6	-0.931625486118719	-0.163797765737399
77	7.7	-0.926472279941663	-0.174104178091511
78	7.8	-0.923895676853135	-0.189563796622679
79	7.9	-0.920030772220343	-0.228212842950597
80	8	-0.916165867587551	-0.264285286189988
81	8.1	-0.91230096295476	-0.269438492367044
82	8.2	-0.908436058321968	-0.270726793911308
83	8.3	-0.903282852144912	-0.269438492367044
84	8.4	-0.900706249056384	-0.270726793911308
85	8.5	-0.894264741335064	-0.269438492367044
86	8.6	-0.8929764397908	-0.275880000088364
87	8.7	-0.887823233613744	-0.28103320626542
88	8.8	-0.882670027436689	-0.28103320626542
89	8.9	-0.882670027436689	-0.279744904721156
90	9	-0.876228519715369	-0.2745916985441
91	9.1	-0.873651916626841	-0.270726793911308
92	9.2	-0.868498710449785	-0.277168301632628
93	9.3	-0.867210408905521	-0.28103320626542
94	9.4	-0.862057202728465	-0.28103320626542
95	9.5	-0.859480599639937	-0.279744904721156
96	9.6	-0.854327393462881	-0.277168301632628
97	9.7	-0.849174187285826	-0.269438492367044
98	9.8	-0.846597584197298	-0.277168301632628
99	9.9	-0.841444378020242	-0.282321507809684
100	10	-0.840156076475978	-0.279744904721156
101	10.1	-0.833714568754658	-0.278456603176892
102	10.2	-0.83113796566613	-0.2745916985441
