Number of measurement points: 1921
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0620219437405467	-0.568324450636283
1	0.1	-0.0195079927798361	-0.568324450636283
2	0.2	-0.022084595868364	-0.568324450636283
3	0.3	-0.0207962943241	-0.569612752180547
4	0.4	-0.0207962943241	-0.568324450636283
5	0.5	-0.0207962943241	-0.568324450636283
6	0.6	-0.0195079927798361	-0.568324450636283
7	0.7	-0.022084595868364	-0.568324450636283
8	0.8	-0.0207962943241	-0.568324450636283
9	0.9	-0.0207962943241	-0.568324450636283
10	1	-0.0207962943241	-0.569612752180547
11	1.1	-0.022084595868364	-0.568324450636283
12	1.2	-0.022084595868364	-0.568324450636283
13	1.3	-0.0207962943241	-0.569612752180547
14	1.4	-0.0195079927798361	-0.568324450636283
15	1.5	-0.0207962943241	-0.568324450636283
16	1.6	-0.0195079927798361	-0.568324450636283
17	1.7	-0.0207962943241	-0.568324450636283
18	1.8	-0.0195079927798361	-0.568324450636283
19	1.9	-0.0207962943241	-0.568324450636283
20	2	-0.0207962943241	-0.568324450636283
21	2.1	-0.0195079927798361	-0.568324450636283
22	2.2	-0.022084595868364	-0.568324450636283
23	2.3	-0.0195079927798361	-0.568324450636283
24	2.4	-0.0207962943241	-0.568324450636283
25	2.5	-0.0195079927798361	-0.568324450636283
26	2.6	-0.0207962943241	-0.568324450636283
27	2.7	-0.0195079927798361	-0.568324450636283
28	2.8	-0.0207962943241	-0.568324450636283
29	2.9	-0.0195079927798361	-0.568324450636283
30	3	-0.0207962943241	-0.567036149092019
31	3.1	-0.0195079927798361	-0.567036149092019
32	3.2	-0.0207962943241	-0.565747847547755
33	3.3	-0.0195079927798361	-0.565747847547755
34	3.4	-0.0207962943241	-0.564459546003491
35	3.5	-0.0195079927798361	-0.564459546003491
36	3.6	-0.0207962943241	-0.563171244459227
37	3.7	-0.0195079927798361	-0.561882942914963
38	3.8	-0.0207962943241	-0.561882942914963
39	3.9	-0.0207962943241	-0.560594641370699
40	4	-0.0207962943241	-0.559306339826435
41	4.1	-0.0195079927798361	-0.559306339826435
42	4.2	-0.0207962943241	-0.558018038282171
43	4.3	-0.0195079927798361	-0.558018038282171
44	4.4	-0.0207962943241	-0.556729736737907
45	4.5	-0.0207962943241	-0.556729736737907
46	4.6	-0.0195079927798361	-0.555441435193643
47	4.7	-0.0207962943241	-0.554153133649379
48	4.8	-0.0195079927798361	-0.552864832105115
49	4.9	-0.0207962943241	-0.552864832105115
50	5	-0.0195079927798361	-0.551576530560851
51	5.1	-0.0207962943241	-0.551576530560851
52	5.2	-0.0207962943241	-0.550288229016587
53	5.3	-0.0207962943241	-0.548999927472323
54	5.4	-0.0207962943241	-0.548999927472323
55	5.5	-0.0207962943241	-0.548999927472323
56	5.6	-0.0207962943241	-0.547711625928059
57	5.7	-0.0207962943241	-0.546423324383795
58	5.8	-0.0207962943241	-0.546423324383795
59	5.9	-0.0207962943241	-0.545135022839531
60	6	-0.0207962943241	-0.545135022839531
61	6.1	-0.0195079927798361	-0.543846721295267
62	6.2	-0.0207962943241	-0.542558419751003
63	6.3	-0.0207962943241	-0.541270118206739
64	6.4	-0.0207962943241	-0.541270118206739
65	6.5	-0.0207962943241	-0.538693515118212
66	6.6	-0.0207962943241	-0.538693515118212
67	6.7	-0.0195079927798361	-0.538693515118212
68	6.8	-0.0207962943241	-0.537405213573948
69	6.9	-0.0195079927798361	-0.536116912029684
70	7	-0.0207962943241	-0.53482861048542
71	7.1	-0.0207962943241	-0.53482861048542
72	7.2	-0.0207962943241	-0.533540308941156
73	7.3	-0.0195079927798361	-0.533540308941156
74	7.4	-0.0207962943241	-0.532252007396892
75	7.5	-0.0195079927798361	-0.530963705852628
76	7.6	-0.0207962943241	-0.529675404308364
77	7.7	-0.0207962943241	-0.529675404308364
78	7.8	-0.0195079927798361	-0.5283871027641
79	7.9	-0.0207962943241	-0.527098801219836
80	8	-0.0207962943241	-0.527098801219836
81	8.1	-0.0195079927798361	-0.525810499675572
82	8.2	-0.0195079927798361	-0.524522198131308
83	8.3	-0.0207962943241	-0.524522198131308
84	8.4	-0.0207962943241	-0.52194559504278
85	8.5	-0.0207962943241	-0.52194559504278
86	8.6	-0.0195079927798361	-0.520657293498516
87	8.7	-0.0207962943241	-0.520657293498516
88	8.8	-0.0207962943241	-0.519368991954252
89	8.9	-0.0207962943241	-0.518080690409988
90	9	-0.0195079927798361	-0.518080690409988
91	9.1	-0.0207962943241	-0.516792388865724
92	9.2	-0.0207962943241	-0.51550408732146
