Number of measurement points: 1075
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0633102452848107	-0.592802179977298
1	0.1	-0.0259495005011559	-0.592802179977298
2	0.2	-0.0246611989568919	-0.592802179977298
3	0.3	-0.0259495005011559	-0.592802179977298
4	0.4	-0.0246611989568919	-0.592802179977298
5	0.5	-0.0259495005011559	-0.592802179977298
6	0.6	-0.0246611989568919	-0.592802179977298
7	0.7	-0.0246611989568919	-0.592802179977298
8	0.8	-0.0246611989568919	-0.592802179977298
9	0.9	-0.0246611989568919	-0.592802179977298
10	1	-0.0259495005011559	-0.592802179977298
11	1.1	-0.0246611989568919	-0.592802179977298
12	1.2	-0.0246611989568919	-0.592802179977298
13	1.3	-0.0259495005011559	-0.592802179977298
14	1.4	-0.0246611989568919	-0.592802179977298
15	1.5	-0.0246611989568919	-0.592802179977298
16	1.6	-0.0246611989568919	-0.594090481521562
17	1.7	-0.0259495005011559	-0.592802179977298
18	1.8	-0.0259495005011559	-0.594090481521562
19	1.9	-0.0259495005011559	-0.594090481521562
20	2	-0.0259495005011559	-0.592802179977298
21	2.1	-0.0246611989568919	-0.592802179977298
22	2.2	-0.0259495005011559	-0.594090481521562
23	2.3	-0.0246611989568919	-0.594090481521562
24	2.4	-0.0259495005011559	-0.594090481521562
25	2.5	-0.0246611989568919	-0.594090481521562
26	2.6	-0.0246611989568919	-0.594090481521562
27	2.7	-0.0259495005011559	-0.592802179977298
28	2.8	-0.0246611989568919	-0.592802179977298
29	2.9	-0.0246611989568919	-0.591513878433034
30	3	-0.0246611989568919	-0.59022557688877
31	3.1	-0.0259495005011559	-0.588937275344506
32	3.2	-0.0259495005011559	-0.588937275344506
33	3.3	-0.0259495005011559	-0.587648973800242
34	3.4	-0.0259495005011559	-0.586360672255978
35	3.5	-0.0259495005011559	-0.586360672255978
36	3.6	-0.0246611989568919	-0.585072370711714
37	3.7	-0.0246611989568919	-0.58378406916745
38	3.8	-0.0259495005011559	-0.58378406916745
39	3.9	-0.0246611989568919	-0.582495767623186
40	4	-0.0246611989568919	-0.582495767623186
41	4.1	-0.0246611989568919	-0.581207466078922
42	4.2	-0.0246611989568919	-0.579919164534658
43	4.3	-0.0246611989568919	-0.579919164534658
44	4.4	-0.0259495005011559	-0.57734256144613
45	4.5	-0.0246611989568919	-0.57734256144613
46	4.6	-0.0246611989568919	-0.57734256144613
47	4.7	-0.0233728974126279	-0.576054259901866
48	4.8	-0.0246611989568919	-0.576054259901866
49	4.9	-0.0233728974126279	-0.574765958357602
50	5	-0.0233728974126279	-0.576054259901866
51	5.1	-0.0233728974126279	-0.574765958357602
52	5.2	-0.0233728974126279	-0.574765958357602
53	5.3	-0.0246611989568919	-0.574765958357602
54	5.4	-0.0233728974126279	-0.573477656813338
55	5.5	-0.0246611989568919	-0.573477656813338
56	5.6	-0.0233728974126279	-0.573477656813338
57	5.7	-0.0246611989568919	-0.572189355269074
58	5.8	-0.0233728974126279	-0.57090105372481
59	5.9	-0.0233728974126279	-0.569612752180547
60	6	-0.0233728974126279	-0.569612752180547
61	6.1	-0.0233728974126279	-0.567036149092019
62	6.2	-0.022084595868364	-0.567036149092019
63	6.3	-0.0233728974126279	-0.565747847547755
64	6.4	-0.022084595868364	-0.564459546003491
65	6.5	-0.0233728974126279	-0.564459546003491
66	6.6	-0.0233728974126279	-0.564459546003491
67	6.7	-0.0233728974126279	-0.561882942914963
68	6.8	-0.022084595868364	-0.560594641370699
69	6.9	-0.0233728974126279	-0.559306339826435
70	7	-0.0233728974126279	-0.559306339826435
71	7.1	-0.0246611989568919	-0.558018038282171
72	7.2	-0.022084595868364	-0.556729736737907
73	7.3	-0.0246611989568919	-0.556729736737907
74	7.4	-0.022084595868364	-0.555441435193643
75	7.5	-0.0246611989568919	-0.554153133649379
76	7.6	-0.022084595868364	-0.552864832105115
77	7.7	-0.0233728974126279	-0.552864832105115
78	7.8	-0.0233728974126279	-0.550288229016587
79	7.9	-0.0233728974126279	-0.550288229016587
80	8	-0.022084595868364	-0.548999927472323
81	8.1	-0.022084595868364	-0.547711625928059
82	8.2	-0.022084595868364	-0.546423324383795
83	8.3	-0.022084595868364	-0.545135022839531
84	8.4	-0.0233728974126279	-0.543846721295267
85	8.5	-0.0233728974126279	-0.542558419751003
86	8.6	-0.0233728974126279	-0.541270118206739
87	8.7	-0.0233728974126279	-0.539981816662475
88	8.8	-0.022084595868364	-0.538693515118212
89	8.9	-0.022084595868364	-0.537405213573948
90	9	-0.0233728974126279	-0.536116912029684
91	9.1	-0.022084595868364	-0.536116912029684
92	9.2	-0.0207962943241	-0.53482861048542
93	9.3	-0.022084595868364	-0.533540308941156
94	9.4	-0.0207962943241	-0.532252007396892
95	9.5	-0.022084595868364	-0.532252007396892
96	9.6	-0.0207962943241	-0.529675404308364
97	9.7	-0.0195079927798361	-0.529675404308364
98	9.8	-0.0195079927798361	-0.5283871027641
99	9.9	-0.0195079927798361	-0.5283871027641
100	10	-0.022084595868364	-0.527098801219836
101	10.1	-0.0207962943241	-0.527098801219836
102	10.2	-0.022084595868364	-0.525810499675572
103	10.3	-0.0195079927798361	-0.524522198131308
104	10.4	-0.022084595868364	-0.523233896587044
105	10.5	-0.0195079927798361	-0.52194559504278
106	10.6	-0.0195079927798361	-0.520657293498516
107	10.7	-0.0207962943241	-0.52194559504278
108	10.8	-0.0195079927798361	-0.519368991954252
109	10.9	-0.0207962943241	-0.518080690409988
110	11	-0.0207962943241	-0.516792388865724
111	11.1	-0.0195079927798361	-0.51550408732146
112	11.2	-0.0207962943241	-0.514215785777196
113	11.3	-0.0195079927798361	-0.512927484232932
114	11.4	-0.0207962943241	-0.512927484232932
115	11.5	-0.0207962943241	-0.511639182688668
116	11.6	-0.0207962943241	-0.510350881144404
117	11.7	-0.0207962943241	-0.50906257960014
118	11.8	-0.0195079927798361	-0.506485976511613
119	11.9	-0.022084595868364	-0.506485976511613
120	12	-0.0195079927798361	-0.505197674967349
121	12.1	-0.0207962943241	-0.503909373423085
122	12.2	-0.0195079927798361	-0.503909373423085
123	12.3	-0.0195079927798361	-0.502621071878821
124	12.4	-0.0195079927798361	-0.500044468790293
125	12.5	-0.0207962943241	-0.500044468790293
126	12.6	-0.0207962943241	-0.498756167246029
127	12.7	-0.0207962943241	-0.497467865701765
128	12.8	-0.0195079927798361	-0.496179564157501
129	12.9	-0.0207962943241	-0.494891262613237
130	13	-0.0195079927798361	-0.493602961068973
131	13.1	-0.0207962943241	-0.493602961068973
132	13.2	-0.0207962943241	-0.492314659524709
133	13.3	-0.0207962943241	-0.492314659524709
134	13.4	-0.0207962943241	-0.489738056436181
135	13.5	-0.0207962943241	-0.488449754891917
136	13.6	-0.0207962943241	-0.487161453347653
137	13.7	-0.0207962943241	-0.485873151803389
138	13.8	-0.0207962943241	-0.484584850259125
139	13.9	-0.0195079927798361	-0.482008247170597
140	14	-0.0195079927798361	-0.482008247170597
141	14.1	-0.0207962943241	-0.480719945626333
142	14.2	-0.0207962943241	-0.479431644082069
143	14.3	-0.0207962943241	-0.476855040993541
144	14.4	-0.0195079927798361	-0.475566739449278
145	14.5	-0.0207962943241	-0.474278437905014
146	14.6	-0.0195079927798361	-0.47299013636075
147	14.7	-0.0207962943241	-0.471701834816486
148	14.8	-0.0195079927798361	-0.470413533272222
149	14.9	-0.0207962943241	-0.469125231727958
150	15	-0.0195079927798361	-0.467836930183694
151	15.1	-0.0207962943241	-0.46654862863943
152	15.2	-0.0207962943241	-0.463972025550902
153	15.3	-0.0207962943241	-0.462683724006638
154	15.4	-0.0207962943241	-0.461395422462374
155	15.5	-0.0195079927798361	-0.46010712091811
156	15.6	-0.0195079927798361	-0.457530517829582
157	15.7	-0.0207962943241	-0.456242216285318
158	15.8	-0.0195079927798361	-0.454953914741054
159	15.9	-0.0207962943241	-0.45366561319679
160	16	-0.0195079927798361	-0.452377311652526
161	16.1	-0.0207962943241	-0.451089010108262
162	16.2	-0.0207962943241	-0.449800708563998
163	16.3	-0.0207962943241	-0.448512407019734
164	16.4	-0.022084595868364	-0.44722410547547
165	16.5	-0.022084595868364	-0.445935803931206
166	16.6	-0.0207962943241	-0.443359200842679
167	16.7	-0.022084595868364	-0.443359200842679
168	16.8	-0.0207962943241	-0.442070899298415
169	16.9	-0.022084595868364	-0.440782597754151
170	17	-0.0207962943241	-0.439494296209887
171	17.1	-0.022084595868364	-0.439494296209887
172	17.2	-0.0207962943241	-0.436917693121359
173	17.3	-0.0207962943241	-0.435629391577095
174	17.4	-0.022084595868364	-0.434341090032831
175	17.5	-0.0207962943241	-0.433052788488567
176	17.6	-0.022084595868364	-0.431764486944303
177	17.7	-0.022084595868364	-0.431764486944303
178	17.8	-0.022084595868364	-0.430476185400039
179	17.9	-0.0207962943241	-0.430476185400039
180	18	-0.022084595868364	-0.427899582311511
181	18.1	-0.022084595868364	-0.426611280767247
182	18.2	-0.0233728974126279	-0.425322979222983
183	18.3	-0.022084595868364	-0.422746376134455
184	18.4	-0.022084595868364	-0.421458074590191
185	18.5	-0.0233728974126279	-0.420169773045927
186	18.6	-0.022084595868364	-0.417593169957399
187	18.7	-0.022084595868364	-0.415016566868871
188	18.8	-0.022084595868364	-0.413728265324607
189	18.9	-0.022084595868364	-0.412439963780344
190	19	-0.022084595868364	-0.409863360691816
191	19.1	-0.022084595868364	-0.408575059147552
192	19.2	-0.0233728974126279	-0.407286757603288
193	19.3	-0.0233728974126279	-0.405998456059024
194	19.4	-0.022084595868364	-0.403421852970496
195	19.5	-0.0233728974126279	-0.402133551426232
196	19.6	-0.0233728974126279	-0.402133551426232
197	19.7	-0.022084595868364	-0.399556948337704
198	19.8	-0.0233728974126279	-0.39826864679344
199	19.9	-0.022084595868364	-0.39826864679344
200	20	-0.0233728974126279	-0.396980345249176
201	20.1	-0.022084595868364	-0.395692043704912
202	20.2	-0.022084595868364	-0.394403742160648
203	20.3	-0.0233728974126279	-0.393115440616384
204	20.4	-0.022084595868364	-0.393115440616384
205	20.5	-0.0233728974126279	-0.390538837527856
206	20.6	-0.022084595868364	-0.389250535983592
207	20.7	-0.022084595868364	-0.387962234439328
208	20.8	-0.0246611989568919	-0.386673932895064
209	20.9	-0.0233728974126279	-0.386673932895064
210	21	-0.0233728974126279	-0.384097329806536
211	21.1	-0.0233728974126279	-0.382809028262272
212	21.2	-0.0233728974126279	-0.381520726718009
213	21.3	-0.0233728974126279	-0.380232425173745
214	21.4	-0.022084595868364	-0.378944123629481
215	21.5	-0.0233728974126279	-0.377655822085217
216	21.6	-0.0233728974126279	-0.376367520540953
217	21.7	-0.0246611989568919	-0.375079218996689
218	21.8	-0.0246611989568919	-0.373790917452425
219	21.9	-0.0246611989568919	-0.372502615908161
220	22	-0.0246611989568919	-0.371214314363897
221	22.1	-0.0233728974126279	-0.369926012819633
222	22.2	-0.0246611989568919	-0.369926012819633
223	22.3	-0.0246611989568919	-0.368637711275369
224	22.4	-0.0246611989568919	-0.367349409731105
225	22.5	-0.0246611989568919	-0.366061108186841
226	22.6	-0.0259495005011559	-0.364772806642577
227	22.7	-0.0259495005011559	-0.364772806642577
228	22.8	-0.0246611989568919	-0.362196203554049
229	22.9	-0.0259495005011559	-0.360907902009785
230	23	-0.0259495005011559	-0.359619600465521
231	23.1	-0.0259495005011559	-0.358331298921257
232	23.2	-0.0259495005011559	-0.357042997376993
233	23.3	-0.0259495005011559	-0.355754695832729
234	23.4	-0.0246611989568919	-0.354466394288465
235	23.5	-0.0259495005011559	-0.354466394288465
236	23.6	-0.0246611989568919	-0.354466394288465
237	23.7	-0.0246611989568919	-0.353178092744201
238	23.8	-0.0259495005011559	-0.353178092744201
239	23.9	-0.0246611989568919	-0.351889791199937
240	24	-0.0246611989568919	-0.351889791199937
241	24.1	-0.0259495005011559	-0.350601489655674
242	24.2	-0.0246611989568919	-0.34931318811141
243	24.3	-0.0246611989568919	-0.348024886567146
244	24.4	-0.0246611989568919	-0.348024886567146
245	24.5	-0.0246611989568919	-0.346736585022882
246	24.6	-0.0246611989568919	-0.346736585022882
247	24.7	-0.0259495005011559	-0.346736585022882
248	24.8	-0.0233728974126279	-0.345448283478618
249	24.9	-0.0246611989568919	-0.344159981934354
250	25	-0.0246611989568919	-0.34287168039009
251	25.1	-0.0246611989568919	-0.341583378845826
252	25.2	-0.0259495005011559	-0.340295077301562
253	25.3	-0.0246611989568919	-0.339006775757298
254	25.4	-0.0246611989568919	-0.337718474213034
255	25.5	-0.0259495005011559	-0.33643017266877
256	25.6	-0.0246611989568919	-0.335141871124506
257	25.7	-0.0259495005011559	-0.333853569580242
258	25.8	-0.0246611989568919	-0.333853569580242
259	25.9	-0.0246611989568919	-0.332565268035978
260	26	-0.0259495005011559	-0.331276966491714
261	26.1	-0.0246611989568919	-0.32998866494745
262	26.2	-0.0246611989568919	-0.328700363403186
263	26.3	-0.0259495005011559	-0.328700363403186
264	26.4	-0.0246611989568919	-0.326123760314658
265	26.5	-0.0259495005011559	-0.324835458770394
266	26.6	-0.0246611989568919	-0.322258855681866
267	26.7	-0.0259495005011559	-0.320970554137602
268	26.8	-0.0259495005011559	-0.320970554137602
269	26.9	-0.0246611989568919	-0.319682252593338
270	27	-0.0259495005011559	-0.318393951049075
271	27.1	-0.0246611989568919	-0.317105649504811
272	27.2	-0.0246611989568919	-0.317105649504811
273	27.3	-0.0259495005011559	-0.315817347960547
274	27.4	-0.0259495005011559	-0.314529046416283
275	27.5	-0.0259495005011559	-0.314529046416283
276	27.6	-0.0259495005011559	-0.311952443327755
277	27.7	-0.0259495005011559	-0.310664141783491
278	27.8	-0.0259495005011559	-0.309375840239227
279	27.9	-0.0259495005011559	-0.308087538694963
280	28	-0.0259495005011559	-0.306799237150699
281	28.1	-0.0259495005011559	-0.306799237150699
282	28.2	-0.0246611989568919	-0.304222634062171
283	28.3	-0.0246611989568919	-0.302934332517907
284	28.4	-0.0246611989568919	-0.300357729429379
285	28.5	-0.0259495005011559	-0.300357729429379
286	28.6	-0.0246611989568919	-0.299069427885115
287	28.7	-0.0259495005011559	-0.297781126340851
288	28.8	-0.0246611989568919	-0.296492824796587
289	28.9	-0.0246611989568919	-0.295204523252323
290	29	-0.0246611989568919	-0.295204523252323
291	29.1	-0.0259495005011559	-0.292627920163795
292	29.2	-0.0246611989568919	-0.291339618619531
293	29.3	-0.0246611989568919	-0.290051317075267
294	29.4	-0.0246611989568919	-0.288763015531003
295	29.5	-0.0246611989568919	-0.286186412442476
296	29.6	-0.0259495005011559	-0.284898110898212
297	29.7	-0.0246611989568919	-0.282321507809684
298	29.8	-0.0259495005011559	-0.28103320626542
299	29.9	-0.0246611989568919	-0.28103320626542
300	30	-0.0246611989568919	-0.278456603176892
301	30.1	-0.0259495005011559	-0.277168301632628
302	30.2	-0.0259495005011559	-0.275880000088364
303	30.3	-0.0246611989568919	-0.2745916985441
304	30.4	-0.0259495005011559	-0.273303396999836
305	30.5	-0.0259495005011559	-0.272015095455572
306	30.6	-0.0259495005011559	-0.269438492367044
307	30.7	-0.0246611989568919	-0.26815019082278
308	30.8	-0.0259495005011559	-0.265573587734252
309	30.9	-0.0259495005011559	-0.265573587734252
310	31	-0.0259495005011559	-0.264285286189988
311	31.1	-0.0259495005011559	-0.264285286189988
312	31.2	-0.0246611989568919	-0.262996984645724
313	31.3	-0.0259495005011559	-0.26170868310146
314	31.4	-0.0246611989568919	-0.260420381557196
315	31.5	-0.0259495005011559	-0.259132080012932
316	31.6	-0.0246611989568919	-0.257843778468668
317	31.7	-0.0246611989568919	-0.257843778468668
318	31.8	-0.0246611989568919	-0.256555476924405
319	31.9	-0.0259495005011559	-0.255267175380141
320	32	-0.0246611989568919	-0.253978873835877
321	32.1	-0.0259495005011559	-0.252690572291613
322	32.2	-0.0259495005011559	-0.251402270747349
323	32.3	-0.0259495005011559	-0.250113969203085
324	32.4	-0.0259495005011559	-0.248825667658821
325	32.5	-0.0259495005011559	-0.247537366114557
326	32.6	-0.0246611989568919	-0.247537366114557
327	32.7	-0.0246611989568919	-0.246249064570293
328	32.8	-0.0246611989568919	-0.244960763026029
329	32.9	-0.0233728974126279	-0.242384159937501
330	33	-0.0246611989568919	-0.241095858393237
331	33.1	-0.0246611989568919	-0.239807556848973
332	33.2	-0.0246611989568919	-0.238519255304709
333	33.3	-0.0259495005011559	-0.237230953760445
334	33.4	-0.0233728974126279	-0.237230953760445
335	33.5	-0.0246611989568919	-0.235942652216181
336	33.6	-0.0233728974126279	-0.234654350671917
337	33.7	-0.0246611989568919	-0.233366049127653
338	33.8	-0.0246611989568919	-0.232077747583389
339	33.9	-0.0259495005011559	-0.232077747583389
340	34	-0.0233728974126279	-0.230789446039125
341	34.1	-0.0246611989568919	-0.228212842950597
