Number of measurement points: 2222
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0465623252093792	-0.564459546003491
1	0.1	-0.0246611989568919	-0.564459546003491
2	0.2	-0.0233728974126279	-0.564459546003491
3	0.3	-0.0233728974126279	-0.564459546003491
4	0.4	-0.022084595868364	-0.564459546003491
5	0.5	-0.0246611989568919	-0.564459546003491
6	0.6	-0.0246611989568919	-0.564459546003491
7	0.7	-0.0246611989568919	-0.564459546003491
8	0.8	-0.0233728974126279	-0.564459546003491
9	0.9	-0.0233728974126279	-0.564459546003491
10	1	-0.0233728974126279	-0.564459546003491
11	1.1	-0.022084595868364	-0.565747847547755
12	1.2	-0.0233728974126279	-0.564459546003491
13	1.3	-0.0233728974126279	-0.564459546003491
14	1.4	-0.0233728974126279	-0.564459546003491
15	1.5	-0.022084595868364	-0.564459546003491
16	1.6	-0.0233728974126279	-0.564459546003491
17	1.7	-0.0233728974126279	-0.564459546003491
18	1.8	-0.0233728974126279	-0.564459546003491
19	1.9	-0.0233728974126279	-0.564459546003491
20	2	-0.0233728974126279	-0.564459546003491
21	2.1	-0.0246611989568919	-0.563171244459227
22	2.2	-0.0246611989568919	-0.561882942914963
23	2.3	-0.0233728974126279	-0.560594641370699
24	2.4	-0.0233728974126279	-0.560594641370699
25	2.5	-0.022084595868364	-0.558018038282171
26	2.6	-0.0195079927798361	-0.558018038282171
27	2.7	-0.022084595868364	-0.556729736737907
28	2.8	-0.0207962943241	-0.555441435193643
29	2.9	-0.0207962943241	-0.554153133649379
30	3	-0.0207962943241	-0.554153133649379
31	3.1	-0.022084595868364	-0.552864832105115
32	3.2	-0.022084595868364	-0.551576530560851
33	3.3	-0.0233728974126279	-0.548999927472323
34	3.4	-0.022084595868364	-0.547711625928059
35	3.5	-0.0233728974126279	-0.546423324383795
36	3.6	-0.0259495005011559	-0.546423324383795
37	3.7	-0.0272378020454198	-0.545135022839531
38	3.8	-0.0285261035896838	-0.543846721295267
39	3.9	-0.0298144051339477	-0.542558419751003
40	4	-0.0285261035896838	-0.541270118206739
41	4.1	-0.0311027066782117	-0.539981816662475
42	4.2	-0.0298144051339477	-0.538693515118212
43	4.3	-0.0272378020454198	-0.538693515118212
44	4.4	-0.0259495005011559	-0.537405213573948
45	4.5	-0.0272378020454198	-0.538693515118212
46	4.6	-0.0233728974126279	-0.537405213573948
47	4.7	-0.0233728974126279	-0.537405213573948
48	4.8	-0.022084595868364	-0.536116912029684
49	4.9	-0.0207962943241	-0.53482861048542
50	5	-0.0207962943241	-0.53482861048542
51	5.1	-0.022084595868364	-0.533540308941156
52	5.2	-0.0207962943241	-0.532252007396892
53	5.3	-0.022084595868364	-0.530963705852628
54	5.4	-0.022084595868364	-0.529675404308364
55	5.5	-0.022084595868364	-0.5283871027641
56	5.6	-0.0207962943241	-0.5283871027641
57	5.7	-0.0207962943241	-0.527098801219836
58	5.8	-0.0207962943241	-0.525810499675572
59	5.9	-0.0207962943241	-0.524522198131308
60	6	-0.0207962943241	-0.524522198131308
61	6.1	-0.022084595868364	-0.52194559504278
62	6.2	-0.022084595868364	-0.52194559504278
63	6.3	-0.022084595868364	-0.520657293498516
64	6.4	-0.022084595868364	-0.519368991954252
65	6.5	-0.022084595868364	-0.518080690409988
66	6.6	-0.0207962943241	-0.518080690409988
67	6.7	-0.022084595868364	-0.516792388865724
68	6.8	-0.0207962943241	-0.516792388865724
69	6.9	-0.0207962943241	-0.51550408732146
70	7	-0.0195079927798361	-0.51550408732146
71	7.1	-0.0207962943241	-0.514215785777196
72	7.2	-0.022084595868364	-0.514215785777196
73	7.3	-0.0207962943241	-0.512927484232932
74	7.4	-0.0207962943241	-0.512927484232932
75	7.5	-0.0207962943241	-0.512927484232932
76	7.6	-0.022084595868364	-0.511639182688668
77	7.7	-0.022084595868364	-0.511639182688668
78	7.8	-0.0207962943241	-0.510350881144404
79	7.9	-0.022084595868364	-0.510350881144404
80	8	-0.0233728974126279	-0.510350881144404
81	8.1	-0.0207962943241	-0.50906257960014
82	8.2	-0.0207962943241	-0.507774278055876
83	8.3	-0.022084595868364	-0.507774278055876
84	8.4	-0.022084595868364	-0.507774278055876
85	8.5	-0.0207962943241	-0.506485976511613
86	8.6	-0.022084595868364	-0.505197674967349
87	8.7	-0.0207962943241	-0.505197674967349
88	8.8	-0.0195079927798361	-0.503909373423085
89	8.9	-0.0195079927798361	-0.503909373423085
90	9	-0.0207962943241	-0.503909373423085
91	9.1	-0.0195079927798361	-0.502621071878821
92	9.2	-0.0207962943241	-0.501332770334557
93	9.3	-0.0195079927798361	-0.501332770334557
94	9.4	-0.0207962943241	-0.500044468790293
95	9.5	-0.022084595868364	-0.501332770334557
96	9.6	-0.0207962943241	-0.500044468790293
97	9.7	-0.0207962943241	-0.500044468790293
98	9.8	-0.0233728974126279	-0.500044468790293
99	9.9	-0.022084595868364	-0.500044468790293
100	10	-0.022084595868364	-0.498756167246029
101	10.1	-0.022084595868364	-0.498756167246029
102	10.2	-0.022084595868364	-0.498756167246029
103	10.3	-0.0246611989568919	-0.498756167246029
104	10.4	-0.0233728974126279	-0.497467865701765
105	10.5	-0.0259495005011559	-0.496179564157501
106	10.6	-0.0259495005011559	-0.496179564157501
107	10.7	-0.0246611989568919	-0.496179564157501
108	10.8	-0.0259495005011559	-0.494891262613237
109	10.9	-0.0259495005011559	-0.496179564157501
110	11	-0.0259495005011559	-0.494891262613237
111	11.1	-0.0246611989568919	-0.493602961068973
112	11.2	-0.0246611989568919	-0.493602961068973
113	11.3	-0.0246611989568919	-0.493602961068973
114	11.4	-0.0233728974126279	-0.492314659524709
115	11.5	-0.0246611989568919	-0.492314659524709
116	11.6	-0.0233728974126279	-0.492314659524709
117	11.7	-0.0233728974126279	-0.492314659524709
118	11.8	-0.0233728974126279	-0.492314659524709
119	11.9	-0.0233728974126279	-0.492314659524709
120	12	-0.022084595868364	-0.491026357980445
121	12.1	-0.0233728974126279	-0.491026357980445
122	12.2	-0.0233728974126279	-0.491026357980445
123	12.3	-0.022084595868364	-0.491026357980445
124	12.4	-0.022084595868364	-0.491026357980445
125	12.5	-0.022084595868364	-0.488449754891917
126	12.6	-0.022084595868364	-0.488449754891917
127	12.7	-0.022084595868364	-0.487161453347653
128	12.8	-0.0207962943241	-0.485873151803389
129	12.9	-0.022084595868364	-0.485873151803389
130	13	-0.022084595868364	-0.485873151803389
131	13.1	-0.0233728974126279	-0.485873151803389
132	13.2	-0.0233728974126279	-0.483296548714861
133	13.3	-0.0207962943241	-0.483296548714861
134	13.4	-0.0207962943241	-0.483296548714861
135	13.5	-0.022084595868364	-0.483296548714861
136	13.6	-0.022084595868364	-0.482008247170597
137	13.7	-0.0207962943241	-0.480719945626333
138	13.8	-0.0207962943241	-0.480719945626333
139	13.9	-0.0233728974126279	-0.480719945626333
