Number of measurement points: 3239
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0710400545503944	-0.815678347134963
1	0.1	-0.0195079927798361	-0.816966648679227
2	0.2	-0.0207962943241	-0.815678347134963
3	0.3	-0.0207962943241	-0.816966648679227
4	0.4	-0.0195079927798361	-0.815678347134963
5	0.5	-0.0195079927798361	-0.815678347134963
6	0.6	-0.0195079927798361	-0.815678347134963
7	0.7	-0.022084595868364	-0.816966648679227
8	0.8	-0.0207962943241	-0.816966648679227
9	0.9	-0.0207962943241	-0.815678347134963
10	1	-0.0195079927798361	-0.816966648679227
11	1.1	-0.0195079927798361	-0.815678347134963
12	1.2	-0.0195079927798361	-0.815678347134963
13	1.3	-0.0207962943241	-0.816966648679227
14	1.4	-0.0207962943241	-0.815678347134963
15	1.5	-0.0207962943241	-0.816966648679227
16	1.6	-0.0207962943241	-0.816966648679227
17	1.7	-0.0207962943241	-0.815678347134963
18	1.8	-0.0195079927798361	-0.815678347134963
19	1.9	-0.0207962943241	-0.816966648679227
20	2	-0.0207962943241	-0.815678347134963
21	2.1	-0.0207962943241	-0.815678347134963
22	2.2	-0.0195079927798361	-0.816966648679227
23	2.3	-0.0195079927798361	-0.816966648679227
24	2.4	-0.0182196912355721	-0.815678347134963
25	2.5	-0.0195079927798361	-0.815678347134963
26	2.6	-0.0195079927798361	-0.814390045590699
27	2.7	-0.0207962943241	-0.814390045590699
28	2.8	-0.0207962943241	-0.813101744046435
29	2.9	-0.0195079927798361	-0.811813442502171
30	3	-0.0207962943241	-0.813101744046435
31	3.1	-0.0195079927798361	-0.813101744046435
32	3.2	-0.0195079927798361	-0.811813442502171
33	3.3	-0.0207962943241	-0.811813442502171
34	3.4	-0.0207962943241	-0.810525140957907
35	3.5	-0.0195079927798361	-0.810525140957907
36	3.6	-0.0207962943241	-0.809236839413643
37	3.7	-0.0207962943241	-0.809236839413643
38	3.8	-0.0207962943241	-0.809236839413643
39	3.9	-0.0207962943241	-0.807948537869379
40	4	-0.0195079927798361	-0.806660236325115
41	4.1	-0.0207962943241	-0.806660236325115
42	4.2	-0.022084595868364	-0.805371934780851
43	4.3	-0.022084595868364	-0.806660236325115
44	4.4	-0.022084595868364	-0.805371934780851
45	4.5	-0.0233728974126279	-0.804083633236587
46	4.6	-0.022084595868364	-0.804083633236587
47	4.7	-0.0233728974126279	-0.802795331692323
48	4.8	-0.022084595868364	-0.802795331692323
49	4.9	-0.022084595868364	-0.802795331692323
50	5	-0.022084595868364	-0.802795331692323
51	5.1	-0.0207962943241	-0.802795331692323
52	5.2	-0.0207962943241	-0.801507030148059
53	5.3	-0.0207962943241	-0.801507030148059
54	5.4	-0.022084595868364	-0.801507030148059
55	5.5	-0.022084595868364	-0.801507030148059
56	5.6	-0.022084595868364	-0.800218728603795
57	5.7	-0.022084595868364	-0.801507030148059
58	5.8	-0.0207962943241	-0.801507030148059
59	5.9	-0.0207962943241	-0.800218728603795
60	6	-0.0207962943241	-0.800218728603795
61	6.1	-0.0207962943241	-0.798930427059531
62	6.2	-0.0195079927798361	-0.800218728603795
63	6.3	-0.022084595868364	-0.798930427059531
64	6.4	-0.022084595868364	-0.798930427059531
65	6.5	-0.0195079927798361	-0.797642125515267
66	6.6	-0.0195079927798361	-0.797642125515267
67	6.7	-0.0207962943241	-0.796353823971003
68	6.8	-0.0195079927798361	-0.796353823971003
69	6.9	-0.0207962943241	-0.796353823971003
70	7	-0.0207962943241	-0.796353823971003
71	7.1	-0.0195079927798361	-0.795065522426739
72	7.2	-0.0207962943241	-0.795065522426739
73	7.3	-0.0195079927798361	-0.796353823971003
74	7.4	-0.0207962943241	-0.795065522426739
75	7.5	-0.0195079927798361	-0.793777220882475
76	7.6	-0.0207962943241	-0.793777220882475
77	7.7	-0.0207962943241	-0.793777220882475
78	7.8	-0.0195079927798361	-0.793777220882475
79	7.9	-0.0195079927798361	-0.792488919338211
80	8	-0.0195079927798361	-0.792488919338211
81	8.1	-0.0182196912355721	-0.793777220882475
82	8.2	-0.0207962943241	-0.792488919338211
83	8.3	-0.0195079927798361	-0.791200617793947
84	8.4	-0.0195079927798361	-0.791200617793947
85	8.5	-0.0207962943241	-0.791200617793947
86	8.6	-0.0207962943241	-0.791200617793947
87	8.7	-0.0195079927798361	-0.789912316249683
88	8.8	-0.0195079927798361	-0.789912316249683
89	8.9	-0.0195079927798361	-0.789912316249683
90	9	-0.0195079927798361	-0.789912316249683
91	9.1	-0.0195079927798361	-0.78862401470542
92	9.2	-0.0207962943241	-0.78862401470542
93	9.3	-0.0207962943241	-0.78862401470542
94	9.4	-0.0195079927798361	-0.78862401470542
95	9.5	-0.0195079927798361	-0.78862401470542
96	9.6	-0.0195079927798361	-0.78862401470542
97	9.7	-0.0195079927798361	-0.787335713161156
98	9.8	-0.0195079927798361	-0.787335713161156
99	9.9	-0.0195079927798361	-0.787335713161156
100	10	-0.0195079927798361	-0.787335713161156
101	10.1	-0.0207962943241	-0.787335713161156
102	10.2	-0.0195079927798361	-0.786047411616892
103	10.3	-0.0195079927798361	-0.786047411616892
104	10.4	-0.0195079927798361	-0.786047411616892
105	10.5	-0.0195079927798361	-0.786047411616892
106	10.6	-0.0207962943241	-0.786047411616892
107	10.7	-0.0195079927798361	-0.786047411616892
108	10.8	-0.0195079927798361	-0.784759110072628
109	10.9	-0.0182196912355721	-0.784759110072628
110	11	-0.0195079927798361	-0.784759110072628
111	11.1	-0.0195079927798361	-0.784759110072628
112	11.2	-0.0182196912355721	-0.784759110072628
113	11.3	-0.0195079927798361	-0.783470808528364
114	11.4	-0.0207962943241	-0.784759110072628
115	11.5	-0.0207962943241	-0.783470808528364
116	11.6	-0.0207962943241	-0.783470808528364
117	11.7	-0.0195079927798361	-0.7821825069841
118	11.8	-0.0195079927798361	-0.7821825069841
119	11.9	-0.0195079927798361	-0.780894205439836
120	12	-0.0195079927798361	-0.780894205439836
121	12.1	-0.0207962943241	-0.780894205439836
122	12.2	-0.022084595868364	-0.779605903895572
123	12.3	-0.022084595868364	-0.779605903895572
124	12.4	-0.0207962943241	-0.778317602351308
125	12.5	-0.022084595868364	-0.779605903895572
126	12.6	-0.0233728974126279	-0.778317602351308
