Number of measurement points: 2810
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0581570391077548	-0.671388574177399
1	0.1	-0.0375442143995315	-0.671388574177399
2	0.2	-0.0362559128552675	-0.671388574177399
3	0.3	-0.0349676113110036	-0.671388574177399
4	0.4	-0.0349676113110036	-0.671388574177399
5	0.5	-0.0362559128552675	-0.671388574177399
6	0.6	-0.0349676113110036	-0.671388574177399
7	0.7	-0.0362559128552675	-0.671388574177399
8	0.8	-0.0362559128552675	-0.671388574177399
9	0.9	-0.0362559128552675	-0.671388574177399
10	1	-0.0349676113110036	-0.671388574177399
11	1.1	-0.0349676113110036	-0.671388574177399
12	1.2	-0.0362559128552675	-0.671388574177399
13	1.3	-0.0362559128552675	-0.671388574177399
14	1.4	-0.0349676113110036	-0.672676875721663
15	1.5	-0.0349676113110036	-0.671388574177399
16	1.6	-0.0362559128552675	-0.671388574177399
17	1.7	-0.0362559128552675	-0.671388574177399
18	1.8	-0.0349676113110036	-0.671388574177399
19	1.9	-0.0362559128552675	-0.672676875721663
20	2	-0.0362559128552675	-0.672676875721663
21	2.1	-0.0362559128552675	-0.672676875721663
22	2.2	-0.0362559128552675	-0.672676875721663
23	2.3	-0.0375442143995315	-0.673965177265927
24	2.4	-0.0362559128552675	-0.672676875721663
25	2.5	-0.0362559128552675	-0.672676875721663
26	2.6	-0.0362559128552675	-0.673965177265927
27	2.7	-0.0362559128552675	-0.673965177265927
28	2.8	-0.0362559128552675	-0.673965177265927
29	2.9	-0.0362559128552675	-0.673965177265927
30	3	-0.0362559128552675	-0.673965177265927
31	3.1	-0.0362559128552675	-0.673965177265927
32	3.2	-0.0362559128552675	-0.673965177265927
33	3.3	-0.0362559128552675	-0.673965177265927
34	3.4	-0.0362559128552675	-0.673965177265927
35	3.5	-0.0375442143995315	-0.673965177265927
36	3.6	-0.0375442143995315	-0.673965177265927
37	3.7	-0.0362559128552675	-0.673965177265927
38	3.8	-0.0362559128552675	-0.673965177265927
39	3.9	-0.0375442143995315	-0.673965177265927
40	4	-0.0362559128552675	-0.672676875721663
41	4.1	-0.0362559128552675	-0.673965177265927
42	4.2	-0.0362559128552675	-0.672676875721663
43	4.3	-0.0349676113110036	-0.673965177265927
44	4.4	-0.0336793097667396	-0.672676875721663
45	4.5	-0.0336793097667396	-0.672676875721663
46	4.6	-0.0311027066782117	-0.673965177265927
47	4.7	-0.0246611989568919	-0.672676875721663
48	4.8	-0.0259495005011559	-0.671388574177399
49	4.9	-0.0285261035896838	-0.670100272633135
50	5	-0.0349676113110036	-0.667523669544607
51	5.1	-0.0414091190323234	-0.667523669544607
52	5.2	-0.0426974205765873	-0.666235368000343
53	5.3	-0.0349676113110036	-0.663658764911816
54	5.4	-0.0259495005011559	-0.662370463367552
55	5.5	-0.0207962943241	-0.661082161823288
56	5.6	-0.022084595868364	-0.65850555873476
57	5.7	-0.0246611989568919	-0.657217257190496
58	5.8	-0.0311027066782117	-0.655928955646232
59	5.9	-0.0349676113110036	-0.653352352557704
60	6	-0.0323910082224756	-0.65206405101344
61	6.1	-0.0285261035896838	-0.650775749469176
62	6.2	-0.0233728974126279	-0.650775749469176
63	6.3	-0.0182196912355721	-0.648199146380648
64	6.4	-0.0195079927798361	-0.646910844836384
65	6.5	-0.0246611989568919	-0.64562254329212
66	6.6	-0.0259495005011559	-0.643045940203592
67	6.7	-0.0246611989568919	-0.641757638659328
68	6.8	-0.022084595868364	-0.640469337115064
69	6.9	-0.0195079927798361	-0.6391810355708
70	7	-0.0182196912355721	-0.637892734026536
71	7.1	-0.0195079927798361	-0.635316130938008
72	7.2	-0.0207962943241	-0.634027829393744
73	7.3	-0.0207962943241	-0.632739527849481
74	7.4	-0.0207962943241	-0.631451226305217
75	7.5	-0.0195079927798361	-0.630162924760953
76	7.6	-0.0182196912355721	-0.628874623216689
77	7.7	-0.0195079927798361	-0.627586321672425
78	7.8	-0.0195079927798361	-0.625009718583897
79	7.9	-0.0195079927798361	-0.623721417039633
80	8	-0.0195079927798361	-0.622433115495369
81	8.1	-0.022084595868364	-0.621144813951105
82	8.2	-0.022084595868364	-0.619856512406841
83	8.3	-0.022084595868364	-0.618568210862577
84	8.4	-0.0195079927798361	-0.617279909318313
85	8.5	-0.0195079927798361	-0.615991607774049
86	8.6	-0.0182196912355721	-0.614703306229785
87	8.7	-0.0207962943241	-0.613415004685521
88	8.8	-0.0207962943241	-0.612126703141257
89	8.9	-0.0233728974126279	-0.610838401596993
90	9	-0.0246611989568919	-0.609550100052729
91	9.1	-0.0298144051339477	-0.608261798508465
92	9.2	-0.0323910082224756	-0.606973496964201
93	9.3	-0.0323910082224756	-0.605685195419937
94	9.4	-0.0272378020454198	-0.604396893875673
95	9.5	-0.0233728974126279	-0.603108592331409
96	9.6	-0.0207962943241	-0.601820290787145
97	9.7	-0.0233728974126279	-0.600531989242882
98	9.8	-0.0272378020454198	-0.599243687698618
99	9.9	-0.0336793097667396	-0.59666708461009
100	10	-0.0375442143995315	-0.595378783065826
101	10.1	-0.0375442143995315	-0.594090481521562
102	10.2	-0.0349676113110036	-0.592802179977298
103	10.3	-0.0285261035896838	-0.59022557688877
104	10.4	-0.022084595868364	-0.59022557688877
105	10.5	-0.0207962943241	-0.587648973800242
106	10.6	-0.0259495005011559	-0.587648973800242
107	10.7	-0.0311027066782117	-0.586360672255978
108	10.8	-0.0414091190323234	-0.586360672255978
109	10.9	-0.0478506267536432	-0.585072370711714
110	11	-0.0504272298421711	-0.58378406916745
111	11.1	-0.051715531386435	-0.58378406916745
112	11.2	-0.0491389282979071	-0.582495767623186
113	11.3	-0.0439857221208513	-0.582495767623186
114	11.4	-0.0388325159437954	-0.581207466078922
115	11.5	-0.0323910082224756	-0.579919164534658
116	11.6	-0.0272378020454198	-0.579919164534658
117	11.7	-0.0233728974126279	-0.579919164534658
118	11.8	-0.0207962943241	-0.578630862990394
119	11.9	-0.0195079927798361	-0.578630862990394
120	12	-0.0207962943241	-0.57734256144613
121	12.1	-0.0195079927798361	-0.57734256144613
122	12.2	-0.0233728974126279	-0.576054259901866
123	12.3	-0.0323910082224756	-0.574765958357602
124	12.4	-0.0401208174880594	-0.573477656813338
125	12.5	-0.0452740236651152	-0.572189355269074
126	12.6	-0.0478506267536432	-0.572189355269074
127	12.7	-0.0452740236651152	-0.57090105372481
128	12.8	-0.0388325159437954	-0.569612752180547
129	12.9	-0.0285261035896838	-0.568324450636283
130	13	-0.0259495005011559	-0.567036149092019
131	13.1	-0.0233728974126279	-0.567036149092019
132	13.2	-0.0233728974126279	-0.565747847547755
133	13.3	-0.0259495005011559	-0.564459546003491
134	13.4	-0.0285261035896838	-0.564459546003491
135	13.5	-0.0323910082224756	-0.563171244459227
136	13.6	-0.0388325159437954	-0.563171244459227
137	13.7	-0.0401208174880594	-0.561882942914963
138	13.8	-0.0414091190323234	-0.560594641370699
139	13.9	-0.0388325159437954	-0.559306339826435
140	14	-0.0323910082224756	-0.559306339826435
141	14.1	-0.0311027066782117	-0.558018038282171
142	14.2	-0.0259495005011559	-0.556729736737907
143	14.3	-0.0233728974126279	-0.556729736737907
144	14.4	-0.0207962943241	-0.556729736737907
145	14.5	-0.0207962943241	-0.555441435193643
146	14.6	-0.0246611989568919	-0.554153133649379
147	14.7	-0.0311027066782117	-0.552864832105115
148	14.8	-0.0311027066782117	-0.551576530560851
149	14.9	-0.0323910082224756	-0.550288229016587
150	15	-0.0362559128552675	-0.550288229016587
151	15.1	-0.0311027066782117	-0.548999927472323
152	15.2	-0.0246611989568919	-0.547711625928059
153	15.3	-0.0207962943241	-0.546423324383795
154	15.4	-0.0195079927798361	-0.545135022839531
155	15.5	-0.0195079927798361	-0.545135022839531
156	15.6	-0.0195079927798361	-0.545135022839531
157	15.7	-0.0195079927798361	-0.543846721295267
158	15.8	-0.0195079927798361	-0.543846721295267
159	15.9	-0.0207962943241	-0.542558419751003
160	16	-0.0207962943241	-0.542558419751003
161	16.1	-0.022084595868364	-0.541270118206739
162	16.2	-0.0233728974126279	-0.541270118206739
163	16.3	-0.0233728974126279	-0.539981816662475
164	16.4	-0.0246611989568919	-0.538693515118212
165	16.5	-0.0259495005011559	-0.537405213573948
166	16.6	-0.0259495005011559	-0.537405213573948
167	16.7	-0.0233728974126279	-0.536116912029684
168	16.8	-0.022084595868364	-0.533540308941156
169	16.9	-0.0207962943241	-0.533540308941156
170	17	-0.0195079927798361	-0.532252007396892
171	17.1	-0.022084595868364	-0.532252007396892
172	17.2	-0.0233728974126279	-0.530963705852628
173	17.3	-0.0259495005011559	-0.530963705852628
174	17.4	-0.0285261035896838	-0.529675404308364
175	17.5	-0.0298144051339477	-0.5283871027641
176	17.6	-0.0323910082224756	-0.5283871027641
177	17.7	-0.0349676113110036	-0.527098801219836
178	17.8	-0.0349676113110036	-0.525810499675572
179	17.9	-0.0336793097667396	-0.524522198131308
180	18	-0.0298144051339477	-0.524522198131308
181	18.1	-0.0246611989568919	-0.524522198131308
182	18.2	-0.022084595868364	-0.523233896587044
183	18.3	-0.0207962943241	-0.523233896587044
184	18.4	-0.0195079927798361	-0.52194559504278
